food_id,food_name,region,category,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,meal_type,is_high_protein,is_low_carb,is_vegan,allergens,source
1,Basmati Rice (cooked),North,Veg,130,2.7,28.2,0.3,0.4,64,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
2,Brown Rice (cooked),South,Veg,123,2.6,25.6,0.9,1.8,55,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
3,Idli,South,Veg,39,2.0,7.9,0.1,0.0,70,breakfast|lunch|dinner|snack,0,1,1,none,ICMR-NIN IFCT 2017 / INDB 2024
4,Dosa (plain),South,Veg,133,3.5,23.0,3.2,0.5,69,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
5,Whole Wheat Chapati,North,Veg,104,3.1,18.0,2.5,1.9,52,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
6,Maida Naan,North,Veg,263,8.7,50.0,3.5,1.5,71,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
7,Jowar Roti,West,Veg,97,3.0,20.0,0.9,2.0,50,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
8,Bajra Roti,West,Veg,97,3.5,18.0,1.5,1.2,54,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
9,Ragi Mudde,South,Veg,110,3.3,23.0,0.5,2.3,45,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
10,Poha (flattened rice),West,Veg,130,3.0,26.0,1.9,0.5,68,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
11,Upma,South,Veg,135,3.5,22.0,4.2,1.1,65,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
12,Oats Porridge,North,Veg,68,2.5,12.0,1.5,1.8,55,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
13,Wheat Bread (brown),West,Veg,247,8.5,43.0,4.2,3.5,54,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
14,Rava/Semolina (dry),South,Veg,360,10.0,74.0,1.0,2.0,66,breakfast|lunch|dinner|snack,1,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
15,Paratha (plain),North,Veg,300,6.0,40.0,13.0,2.0,72,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
16,Puri,North,Veg,340,6.5,38.0,19.0,1.5,74,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
17,Toor Dal (cooked),South,Veg,116,7.2,20.6,0.4,2.3,29,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
18,Moong Dal (cooked),North,Veg,99,7.0,16.5,0.6,2.8,31,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
19,Chana Dal (cooked),West,Veg,164,9.5,27.0,2.7,5.0,33,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
20,Rajma (cooked),North,Veg,127,8.7,22.8,0.5,6.4,29,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
21,Chole (cooked),North,Veg,164,8.9,27.4,2.6,7.6,28,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
22,Masoor Dal (cooked),East,Veg,116,9.0,20.1,0.4,3.5,26,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
23,Urad Dal (cooked),South,Veg,118,8.5,21.0,0.5,1.8,43,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
24,Black-eyed Peas (cooked),South,Veg,116,7.7,20.7,0.5,5.1,33,breakfast|lunch|dinner|snack,0,0,1,none,ICMR-NIN IFCT 2017 / INDB 2024
