record_id,Age,Gender,Weight_kg,Height_m,BMI,BMI_Index,Body_Fat_Pct,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hrs,Calories_Burned,Workout_Type,Water_Intake_L,Workout_Frequency_wk,Experience_Level,Fitness_Goal,Activity_Level,Daily_Calories_Intake,Sleep_Hours,Stress_Level,is_duplicate_flag,source
1,66,MALE,84.8,1.921,22.98,2,31.6,197,164,48,2.33,613,Strength,2.97,3,3,bulking,Light,3423,6.3,7,0,Kaggle_GymMembers
2,69,FEMALE,68.7,1.528,29.42,3,8.1,192,100,92,2.64,766,Yoga,3.71,4,2,Stay Fit,,2804,6.1,9,0,Kaggle_FitnessMetrics
3,28,male,66.9,1.58,26.8,3,37.8,178,140,58,0.76,167,Yoga,2.17,2,2,Weight Loss,Light,4124,8.7,9,0,Kaggle_GymMembers
4,48,MALE,54.0,1.674,19.27,2,13.5,171,142,55,0.29,551,Yoga,1.99,1,1,bulking,Active,1103,,9,1,Kaggle_FitnessMetrics
5,28,F,52.3,1.631,19.66,2,8.6,147,107,41,1.75,632,Cardio,1.55,7,2,Stay Fit,,2268,,7,0,Kaggle_BMIDataset
6,39,M,80.1,1.769,25.6,3,24.4,168,101,66,2.73,737,strength,2.8,3,1,bulking,Light,3921,6.9,5,0,Kaggle_BMIDataset
7,58,male,58.0,1.578,23.29,2,48.8,145,,61,0.69,1017,cardio,2.49,7,1,bulking,lightly active,4424,6.8,3,0,Kaggle_FitnessMetrics
8,17,Male,62.0,1.673,22.15,2,40.9,180,116,65,2.86,106,Strength,0.51,2,2,,Active,4297,7.0,3,0,Kaggle_FitnessMetrics
9,15,Female,76.1,1.588,30.18,4,52.3,162,119,41,0.37,631,N/A,3.78,1,,cutting,,1367,5.7,10,0,Kaggle_BMIDataset
10,60,female,59.7,1.662,21.61,2,31.2,165,116,70,2.26,730,Cardio,0.75,7,3,Lose Weight,Light,4068,5.7,8,0,Kaggle_BMIDataset
11,74,Female,72.2,1.661,26.17,3,,176,111,45,0.79,888,strength,1.88,5,,,Active,2268,4.0,3,0,Kaggle_FitnessMetrics
12,80,Male,53.5,1.896,14.88,0,54.1,153,113,64,1.24,314,yoga,1.02,7,,Build Muscle,sedentary,1696,7.7,4,1,Kaggle_FitnessMetrics
13,54,female,63.6,1.639,23.68,2,42.9,191,110,98,0.36,183,,2.07,3,2,Build Muscle,sedentary,1112,8.4,9,0,Kaggle_GymMembers
14,66,male,82.9,1.665,29.9,3,20.1,182,123,76,0.95,636,Yoga,1.93,7,1,cutting,Moderate,947,5.5,6,0,Kaggle_GymMembers
15,23,FEMALE,55.4,1.581,22.16,2,14.7,170,102,79,0.61,1224,Cardio,3.24,,1,,,4278,9.0,10,0,Kaggle_BMIDataset
16,28,male,48.9,1.673,17.47,1,33.6,190,105,42,1.59,1165,yoga,1.26,2,,muscle gain,Light,1229,6.7,7,0,Kaggle_GymMembers
17,32,MALE,71.3,1.718,24.16,2,,186,145,62,2.15,464,hiit,3.91,6,1,Maintenance,Active,2001,,2,0,Kaggle_GymMembers
18,31,F,67.9,1.613,26.1,3,34.0,170,137,75,2.0,265,HIIT,1.05,3,2,maintenance,Active,2413,7.6,3,0,Kaggle_GymMembers
19,66,M,70.2,1.791,21.88,2,23.6,180,167,66,0.27,756,Strength,3.83,2,2,muscle gain,Light,1559,8.5,8,0,Kaggle_BMIDataset
